NOM CONS CYLI VITE VOLU RP/P LONG FISC MARQ PRIX
AS2 6.20 998 140 955 23.20 3.40 4CV ETRA CP1
CI4 5.60 954 145 1170 19.40 3.50 4CV FRAN CP1
PE6 6.70 993 145 1151 20.80 3.61 4CV FRAN CP2
FI3 6.30 999 140 1088 21.80 3.64 4CV ETRA CP1
FI5 6.20 999 145 968 21.50 3.64 4CV ETRA CP2
FI8 8.90 1301 200 968 11.00 3.64 6CV ETRA CP4
FID 7.70 1302 165 968 16.00 3.64 6CV ETRA CP3
FO1 7.00 1117 137 900 22.70 3.64 4CV ETRA CP1
RE7 9.30 1597 180 973 12.00 3.64 6CV FRAN CP4
NI1 6.40 988 140 375 17.00 3.64 4CV ETRA CP1
OP1 7.20 993 143 845 22.40 3.62 4CV ETRA CP1
PE1 6.80 954 134 1200 23.80 3.70 4CV FRAN CP1
PE3 5.80 1124 142 1200 21.40 3.70 5CV FRAN CP3
DA2 9.20 1360 170 1200 13.90 3.70 6CV ETRA CP3
PE9 8.70 1580 190 1200 11.20 3.70 6CV FRAN CP4
RE1 6.30 956 115 950 33.10 3.67 4CV FRAN CP1
RE3 6.30 1108 120 950 28.40 3.67 5CV FRAN CP2
RE4 5.80 1108 143 915 20.60 3.59 5CV FRAN CP2
FO9 7.90 1397 167 915 13.80 3.59 6CV ETRA CP3
RE8 8.70 1397 200 915 10.20 3.59 6CV FRAN CP4
SE4 8.80 1461 175 1200 14.70 3.63 6CV ETRA CP3
SE9 7.30 903 131 1088 23.40 3.46 4CV ETRA CP1
SZ2 6.40 993 145 400 18.40 3.58 4CV ETRA CP1
SZ3 6.50 1324 163 400 14.00 3.58 5CV ETRA CP3
TO1 6.10 999 150 202 19.50 3.70 4CV ETRA CP2
TO3 6.80 1295 170 202 15.00 3.70 5CV ETRA CP3
VW3 7.80 1272 170 1040 14.30 3.65 6CV ETRA CP3
